edist	mapq	min_size	count
100	0	0	293683
10	0	0	287558
5	0	0	268659
3	0	0	246375
1	0	0	201382
0	0	0	152464
100	1	0	213368
10	1	0	209148
5	1	0	196876
3	1	0	182551
1	1	0	152311
0	1	0	117259
100	10	0	168583
10	10	0	165350
5	10	0	156309
3	10	0	145707
1	10	0	122734
0	10	0	94887
100	20	0	152261
10	20	0	149689
5	20	0	142234
3	20	0	133294
1	20	0	112510
0	20	0	87066
100	30	0	116762
10	30	0	114820
5	30	0	109169
3	30	0	102501
1	30	0	87022
0	30	0	67341
100	40	0	91477
10	40	0	89987
5	40	0	85567
3	40	0	80388
1	40	0	68368
0	40	0	52988
100	0	1000	206742
10	0	1000	202377
5	0	1000	188382
3	0	1000	171989
1	0	1000	139580
0	0	1000	104789
100	1	1000	137335
10	1	1000	134643
5	1	1000	126521
3	1	1000	117132
1	1	1000	97715
0	1	1000	74975
100	10	1000	105169
10	10	1000	103201
5	10	1000	97547
3	10	1000	90914
1	10	1000	76724
0	10	1000	59103
100	20	1000	93414
10	20	1000	91865
5	20	1000	87339
3	20	1000	81875
1	20	1000	69272
0	20	1000	53395
100	30	1000	69458
10	30	1000	68302
5	30	1000	64991
3	30	1000	61042
1	30	1000	51965
0	30	1000	40029
100	40	1000	52628
10	40	1000	51757
5	40	1000	49245
3	40	1000	46247
1	40	1000	39426
0	40	1000	30359
100	0	2000	197236
10	0	2000	193032
5	0	2000	179468
3	0	2000	163586
1	0	2000	132465
0	0	2000	99212
100	1	2000	129270
10	1	2000	126717
5	1	2000	118950
3	1	2000	110003
1	1	2000	91687
0	1	2000	70267
100	10	2000	98577
10	10	2000	96723
5	10	2000	91354
3	10	2000	85080
1	10	2000	71770
0	10	2000	55227
100	20	2000	87511
10	20	2000	86056
5	20	2000	81775
3	20	2000	76623
1	20	2000	64812
0	20	2000	49895
100	30	2000	64867
10	30	2000	63790
5	30	2000	60685
3	30	2000	56968
1	30	2000	48478
0	30	2000	37318
100	40	2000	49045
10	40	2000	48232
5	40	2000	45882
3	40	2000	43078
1	40	2000	36712
0	40	2000	28228
100	0	5000	184710
10	0	5000	180665
5	0	5000	167617
3	0	5000	152395
1	0	5000	122932
0	0	5000	91679
100	1	5000	118900
10	1	5000	116479
5	1	5000	109129
3	1	5000	100709
1	1	5000	83759
0	1	5000	64027
100	10	5000	90339
10	10	5000	88600
5	10	5000	83551
3	10	5000	77696
1	10	5000	65439
0	10	5000	50241
100	20	5000	80183
10	20	5000	78817
5	20	5000	74799
3	20	5000	69999
1	20	5000	59125
0	20	5000	45418
100	30	5000	59366
10	30	5000	58362
5	30	5000	55443
3	30	5000	51991
1	30	5000	44189
0	30	5000	33953
100	40	5000	44798
10	40	5000	44044
5	40	5000	41835
3	40	5000	39229
1	40	5000	33378
0	40	5000	25613
100	0	10000	177574
10	0	10000	173650
5	0	10000	161001
3	0	10000	146241
1	0	10000	117813
0	0	10000	87689
100	1	10000	114166
10	1	10000	111837
5	1	10000	104751
3	1	10000	96628
1	1	10000	80356
0	1	10000	61367
100	10	10000	86731
10	10	10000	85059
5	10	10000	80192
3	10	10000	74548
1	10	10000	62779
0	10	10000	48160
100	20	10000	76972
10	20	10000	75663
5	20	10000	71792
3	20	10000	67160
1	20	10000	56730
0	20	10000	43533
100	30	10000	56987
10	30	10000	56027
5	30	10000	53207
3	30	10000	49871
1	30	10000	42375
0	30	10000	32543
100	40	10000	42984
10	40	10000	42265
5	40	10000	40133
3	40	10000	37619
1	40	10000	32007
0	40	10000	24548
100	0	20000	173896
10	0	20000	170062
5	0	20000	157680
3	0	20000	143191
1	0	20000	115313
0	0	20000	85792
100	1	20000	111644
10	1	20000	109385
5	1	20000	102509
3	1	20000	94567
1	1	20000	78668
0	1	20000	60110
100	10	20000	84752
10	10	20000	83141
5	10	20000	78442
3	10	20000	72930
1	10	20000	61457
0	10	20000	47182
100	20	20000	75228
10	20	20000	73976
5	20	20000	70251
3	20	20000	65732
1	20	20000	55546
0	20	20000	42654
100	30	20000	55640
10	30	20000	54731
5	30	20000	52021
3	30	20000	48777
1	30	20000	41461
0	30	20000	31873
100	40	20000	41885
10	40	20000	41208
5	40	20000	39169
3	40	20000	36731
1	40	20000	31252
0	40	20000	23988
100	0	50000	170499
10	0	50000	166755
5	0	50000	154673
3	0	50000	140465
1	0	50000	113093
0	0	50000	84075
100	1	50000	109274
10	1	50000	107069
5	1	50000	100393
3	1	50000	92640
1	1	50000	77091
0	1	50000	58879
100	10	50000	82896
10	10	50000	81327
5	10	50000	76782
3	10	50000	71397
1	10	50000	60187
0	10	50000	46179
100	20	50000	73555
10	20	50000	72341
5	20	50000	68731
3	20	50000	64322
1	20	50000	54371
0	20	50000	41723
100	30	50000	54383
10	30	50000	53503
5	30	50000	50886
3	30	50000	47716
1	30	50000	40581
0	30	50000	31185
100	40	50000	40899
10	40	50000	40241
5	40	50000	38282
3	40	50000	35906
1	40	50000	30573
0	40	50000	23461
